-0.026,0.26,0.969
-0.016,0.248,1
-0.017,0.234,0.988
-0.008,0.224,0.976
0.013,0.223,0.969
0.027,0.231,0.964
0.016,0.237,0.943
0.018,0.244,0.933
0.016,0.242,0.921
0.027,0.239,0.921
0.041,0.236,0.93
0.057,0.235,0.937
0.05,0.23,0.932
0.054,0.236,0.959
0.052,0.232,0.972
0.057,0.226,0.988
0.056,0.219,1.004
0.05,0.211,1.004
0.043,0.206,1.001
0.031,0.199,1.003
0.018,0.192,1.004
0.012,0.187,1.014
0.013,0.183,1.021
0.005,0.176,1.011
-0.002,0.162,0.998
-0.016,0.152,1.014
-0.023,0.142,1.028
-0.032,0.129,1.04
-0.04,0.116,1.047
-0.033,0.105,1.046
-0.044,0.098,1.034
-0.034,0.099,1.035
-0.03,0.098,1.034
-0.019,0.099,1.035
-0.017,0.092,1.021
-0.035,0.08,0.999
-0.035,0.08,0.994
-0.051,0.074,0.994
-0.077,0.07,0.989
-0.079,0.069,0.985
-0.053,0.069,0.986
-0.026,0.075,1.004
-0.012,0.075,1.015
-0.019,0.078,1.021
-0.001,0.076,1.026
0.007,0.072,1.035
-0.019,0.076,1.022
-0.014,0.078,1.03
-0.012,0.078,1.04
-0.014,0.076,1.038
-0.012,0.078,1.033
-0.006,0.084,1.023
0.004,0.091,1.01
0.016,0.095,1.008
0.013,0.093,0.996
0.008,0.089,1
0.001,0.088,0.999
-0.003,0.087,1
-0.002,0.09,1.007
0.004,0.094,1.022
0.004,0.095,1.016
0.001,0.096,1.003
0.007,0.095,1.001
0.008,0.098,0.997
0.012,0.099,0.986
0.015,0.101,0.979
0.013,0.1,0.98
0.007,0.097,0.986
0.001,0.09,0.997
0.003,0.089,1.012
0.006,0.09,1.029
0.009,0.096,1.049
0.022,0.107,1.085
0.029,0.124,1.121
0.045,0.135,1.146
0.064,0.146,1.182
0.051,0.166,1.208
0.049,0.182,1.272
0.016,0.17,1.349
-0.002,0.157,1.435
-0.016,0.139,1.487
-0.031,0.126,1.501
-0.035,0.133,1.497
-0.014,0.148,1.475
0.088,0.212,1.378
0.129,0.238,1.325
0.153,0.245,1.295
0.159,0.256,1.269
0.138,0.268,1.211
0.122,0.268,1.106
0.125,0.26,1.035
0.132,0.268,0.999
0.146,0.282,0.954
0.144,0.308,0.811
0.15,0.307,0.718
0.148,0.278,0.596
0.142,0.266,0.549
0.134,0.264,0.523
0.128,0.264,0.548
0.139,0.263,0.611
0.18,0.265,0.673
0.236,0.192,0.605
0.212,0.13,0.495
0.19,0.068,0.347
0.15,0.006,0.164
0.112,-0.036,-0.049
0.092,-0.068,-0.263
0.097,-0.076,-0.444
0.155,-0.05,-0.6
0.155,-0.05,-0.6
0.248,-0.033,-0.767
0.349,-0.005,-0.94
0.427,0.018,-1.099
0.488,0.004,-1.18
0.523,-0.018,-1.243
0.55,-0.021,-1.315
0.549,-0.027,-1.376
0.527,-0.039,-1.375
0.516,-0.046,-1.335
0.492,-0.065,-1.264
0.413,-0.115,-1.205
0.4,-0.153,-1.206
0.394,-0.171,-1.259
0.41,-0.168,-1.375
0.431,-0.201,-1.631
0.47,-0.193,-1.729
0.513,-0.182,-1.678
0.53,-0.178,-1.56
0.53,-0.145,-1.433
0.501,-0.125,-1.343
0.476,-0.11,-1.299
0.487,-0.069,-1.304
0.542,-0.016,-1.325
0.614,0.039,-1.368
0.689,0.089,-1.391
0.744,0.127,-1.416
0.786,0.151,-1.434
0.789,0.142,-1.471
0.77,0.104,-1.48
0.703,0.05,-1.435
0.661,0.019,-1.341
0.623,0.013,-1.252
0.598,0.024,-1.165
0.594,0.057,-1.074
0.593,0.108,-0.996
0.605,0.144,-0.957
0.606,0.147,-0.949
0.601,0.151,-0.901
0.591,0.156,-0.83
0.583,0.155,-0.748
0.573,0.15,-0.662
0.568,0.153,-0.563
0.54,0.17,-0.422
0.52,0.172,-0.316
0.479,0.15,-0.231
0.44,0.119,-0.147
0.384,0.066,-0.086
0.327,-0.01,-0.012
0.109,-0.204,0.243
0.018,-0.26,0.376
-0.051,-0.294,0.442
-0.101,-0.338,0.503
-0.13,-0.366,0.558
-0.134,-0.373,0.583
-0.143,-0.381,0.561
-0.131,-0.391,0.526
-0.111,-0.417,0.486
-0.101,-0.471,0.468
-0.12,-0.555,0.498
-0.147,-0.662,0.583
-0.151,-0.748,0.749
-0.139,-0.79,1.012
-0.132,-0.814,1.286
-0.133,-0.828,1.519
-0.129,-0.826,1.686
-0.128,-0.804,1.744
-0.111,-0.74,1.798
-0.12,-0.659,1.896
-0.107,-0.602,1.973
-0.041,-0.562,2.065
0.011,-0.491,2.164
0.032,-0.438,2.194
0.022,-0.416,2.149
0.005,-0.396,2.066
0.036,-0.372,1.929
0.094,-0.34,1.744
0.094,-0.34,1.525
0.139,-0.294,1.529
0.191,-0.254,1.315
0.234,-0.222,1.129
0.261,-0.198,0.994
0.257,-0.184,0.878
0.236,-0.172,0.813
0.212,-0.171,0.777
0.182,-0.177,0.746
0.164,-0.166,0.704
0.164,-0.166,0.704
0.177,-0.142,0.717
0.202,-0.112,0.755
0.22,-0.086,0.799
0.218,-0.065,0.845
0.175,-0.048,0.973
0.149,-0.047,1.004
0.103,-0.04,1.018
0.047,-0.041,0.991
0.035,-0.052,0.961
0.055,-0.062,0.964
0.067,-0.081,0.987
0.075,-0.087,1.062
0.095,-0.077,1.157
0.1,-0.067,1.212
0.103,-0.054,1.217
0.086,-0.055,1.161
0.066,-0.052,1.087
0.043,-0.052,1
0.036,-0.047,0.935
0.039,-0.041,0.919
0.061,-0.034,0.94
0.081,-0.018,0.962
0.094,0,0.975
0.106,0.019,0.983
0.114,0.035,0.981
0.096,0.045,0.965
0.068,0.046,0.95
0.02,0.037,0.93
-0.005,0.036,0.928
-0.007,0.045,0.948
-0.008,0.057,0.968
0.009,0.069,1.005
0.024,0.077,1.014
0.045,0.085,1.029
0.045,0.089,1.022
0.033,0.088,1.009
0.015,0.089,0.995
0,0.09,1.003
-0.017,0.09,1
-0.04,0.09,0.896
-0.069,0.084,0.858
-0.063,0.092,0.887
-0.042,0.105,0.926
-0.054,0.113,0.932
-0.083,0.105,0.943
-0.088,0.088,0.975
-0.087,0.067,1.004
-0.087,0.056,0.998
-0.067,0.065,0.993
-0.052,0.076,0.983
