-0.07,0.34,0.85
-0.06,0.36,0.88
-0.05,0.36,0.92
-0.04,0.35,0.95
-0.04,0.34,0.95
-0.04,0.34,0.94
-0.04,0.34,0.93
-0.04,0.34,0.91
-0.04,0.34,0.91
-0.04,0.35,0.91
-0.04,0.34,0.91
-0.04,0.34,0.91
-0.04,0.33,0.92
-0.04,0.33,0.92
-0.03,0.35,0.96
-0.01,0.37,0.97
0.02,0.38,0.97
0.04,0.38,0.97
0.04,0.38,0.96
0.04,0.36,0.93
0.03,0.35,0.91
0.03,0.35,0.91
0.02,0.37,0.93
0.02,0.37,0.94
0.01,0.38,0.95
0,0.4,0.98
0.02,0.38,0.96
0.05,0.37,0.93
0.08,0.38,0.9
0.12,0.42,0.87
0.13,0.45,0.84
0.14,0.46,0.81
0.12,0.47,0.8
0.09,0.46,0.8
0.06,0.44,0.83
0.03,0.42,0.86
0.03,0.42,0.89
0,0.36,0.9
0,0.36,0.9
0.01,0.33,0.92
0.06,0.34,0.96
0.08,0.35,0.95
0.08,0.36,0.95
0.05,0.32,0.93
0.02,0.25,0.91
0.01,0.21,0.9
-0.02,0.16,0.92
-0.01,0.12,0.93
0,0.09,0.95
0.03,0.07,0.96
0.07,0.07,0.98
0.07,0.04,1
0.06,0.01,1.03
0.06,-0.02,1.03
0.07,-0.03,1.01
0.11,-0.02,0.96
0.12,-0.02,0.94
0.11,-0.04,0.95
0.08,-0.05,0.96
0.05,-0.05,0.98
0.02,-0.06,0.99
0.01,-0.06,1.01
-0.01,-0.05,1.01
-0.01,-0.06,0.99
-0.01,-0.07,0.97
-0.01,-0.07,0.97
0,-0.05,0.98
0.01,-0.04,1.01
0.01,-0.04,1.03
0.01,-0.06,1.04
0,-0.08,1.04
-0.02,-0.08,1.04
-0.01,-0.1,1.04
-0.01,-0.11,1.04
-0.03,-0.12,1.05
-0.06,-0.14,1.07
-0.09,-0.17,1.08
-0.12,-0.2,1.07
-0.13,-0.22,1.04
-0.12,-0.22,1.02
-0.1,-0.22,1
-0.08,-0.23,0.96
-0.05,-0.23,0.94
-0.04,-0.24,0.93
-0.03,-0.24,0.94
-0.04,-0.23,0.98
-0.06,-0.23,1
-0.03,-0.17,1.04
-0.03,-0.17,1.04
-0.01,-0.12,1.05
0.01,-0.07,1.05
0.03,0,1.02
0.05,0.01,1.03
0.01,0.01,1.04
0.01,0.01,1.04
0.03,0,1.03
-0.01,-0.02,0.99
-0.06,0,0.96
-0.11,0.07,0.94
-0.14,0.11,0.93
-0.14,0.11,0.92
-0.15,0.08,0.92
-0.16,0.03,0.91
-0.17,0.01,0.91
-0.16,0.03,0.93
-0.16,0.06,0.95
-0.1,0.19,0.92
-0.1,0.19,0.92
-0.03,0.24,0.88
0.02,0.19,0.87
0.03,0.12,0.83
0.09,0.08,0.91
0.09,0.08,0.91
0.07,0.13,0.95
0.05,0.16,0.98
0.06,0.16,0.97
0.1,0.17,0.97
0.21,0.16,1.01
0.24,0.16,1
0.23,0.18,0.97
0.19,0.21,0.92
0.15,0.22,0.89
0.13,0.19,0.9
0.16,0.16,0.95
0.16,0.16,0.95
0.2,0.14,1.01
0.22,0.14,1.02
0.23,0.17,1
0.25,0.19,1.01
0.36,0.25,1.05
0.6,0.37,1.13
0.41,0.34,1.04
0.26,0.25,0.97
0.21,0.2,0.96
0.16,0.16,0.96
0.15,0.12,0.98
0.13,0.12,0.98
0.13,0.15,0.96
0.14,0.19,0.95
0.17,0.2,0.96
0.19,0.21,0.96
0.21,0.23,0.96
0.23,0.26,0.96
0.24,0.25,0.96
0.23,0.23,0.95
0.21,0.23,0.93
0.2,0.22,0.91
0.2,0.21,0.92
0.19,0.21,0.92
0.18,0.22,0.92
0.19,0.23,0.93
0.2,0.25,0.94
0.21,0.26,0.94
0.21,0.28,0.93
0.21,0.28,0.93
0.22,0.3,0.9
0.22,0.3,0.86
0.24,0.29,0.85
0.24,0.27,0.86
0.24,0.26,0.87
0.22,0.25,0.89
0.21,0.27,0.9
0.23,0.29,0.86
0.23,0.32,0.87
0.23,0.34,0.93
0.22,0.33,0.95
0.21,0.29,0.95
0.19,0.16,0.96
0.19,0.16,0.96
0.2,0,0.93
0.21,-0.08,0.92
0.2,-0.15,0.92
0.17,-0.19,0.93
0.14,-0.21,0.96
0.12,-0.19,1
0.09,-0.15,1.05
0.09,-0.12,1.09
0.08,-0.09,1.11
0.08,-0.06,1.1
0.08,-0.03,1.06
0.07,0,1.02
0.07,0.02,0.97
0.08,0.05,0.95
0.09,0.08,0.96
0.09,0.08,0.96
0.11,0.11,0.99
0.12,0.14,1.03
0.12,0.16,1.07
0.13,0.16,1.1
0.13,0.14,1.09
0.12,0.12,1.08
0.12,0.09,1.06
0.11,0.08,1.05
0.1,0.07,1.03
0.05,0.07,0.97
0.04,0.07,0.96
0.03,0.06,0.96
0.03,0.05,0.96
0.03,0.06,0.97
0.03,0.07,0.97
0.04,0.09,0.96
0.04,0.11,0.96
0.03,0.14,0.94
0.02,0.15,0.93
-0.01,0.16,0.92
-0.03,0.17,0.94
-0.04,0.18,0.97
-0.03,0.19,1.01
-0.02,0.2,1.04
-0.02,0.22,1.04
-0.03,0.23,1.03
-0.04,0.24,1
-0.04,0.24,0.97
-0.06,0.24,0.95
-0.06,0.29,0.95
-0.06,0.39,0.92
-0.06,0.43,0.89
-0.05,0.41,0.87
0.07,0.33,0.86
-0.01,0.26,0.91
-0.05,0.23,0.92
-0.06,0.24,0.96
-0.04,0.25,0.96
-0.11,0.24,0.98
-0.1,0.25,0.96
-0.08,0.25,0.93
-0.07,0.26,0.92
-0.08,0.27,0.91
-0.07,0.29,0.91
-0.06,0.29,0.98
-0.06,0.29,0.98
-0.11,0.26,1.01
-0.13,0.26,1.01
-0.12,0.26,0.99
-0.16,0.25,0.87
-0.1,0.3,0.83
-0.06,0.33,0.88
-0.07,0.33,0.91
-0.08,0.32,0.91
-0.09,0.33,0.93
-0.11,0.31,0.95
-0.12,0.28,0.95
-0.12,0.28,0.95
-0.12,0.25,0.92
